created_at,text
Mon Oct 26 01:30:57 +0000 2020,Tem vacina que parece que tu ta sendo possuída.
Mon Oct 26 01:30:57 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO https://t.c…"
Mon Oct 26 01:30:57 +0000 2020,@GFiuza_Oficial O Dorinha e o Nhonho juntos com a China para obrigar para tomar a vacina chinesa
Mon Oct 26 01:31:00 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:01 +0000 2020,RT @danielbovolento: O meu Instagram inteiro tá em praia ou viajando pra outros estados com galera nesse fds. Onde é a fila da vacina?
Mon Oct 26 01:31:01 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO https://t.c…"
Mon Oct 26 01:31:01 +0000 2020,"@g1 😎
Tome Vacina!!

Vacina é saúde!
Vacina é Vida!
Vacina é Tudo!

É o que diz o ""consórcio de veículos FAMACÊUTIC… https://t.co/szvHWTqH2X"
Mon Oct 26 01:31:01 +0000 2020,@andradevicx @biellca @blackestbiebs EU TOMO ESSA VACINA NEM QUE TENHA QUE COMPRAR NO SHOPEE
Mon Oct 26 01:31:02 +0000 2020,"RT @Debora_D_Diniz: Arroz é comida de sobrevivência. 
Vacinação é esperança de futuro. 

No mesmo dia, Bolsonaro ironizou os dois. Mandou c…"
Mon Oct 26 01:31:02 +0000 2020,RT @EtreBr: @STF_oficial SUBMETER AS PESSOAS A TRATAMENTO DESUMANO E CRUEL COMO VACINA SEM SEGURANÇA É PRÁTICA DO NAZISMO
Mon Oct 26 01:31:03 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:03 +0000 2020,os bolsominios tao pedindo fora doria pq ele quer a vacina kkkkkkkkkkkkk cara esse pais é insanooooo
Mon Oct 26 01:31:04 +0000 2020,"RT @MajorVitorHugo: Qdo vejo a dupla @jdoriajr e @RodrigoMaia agindo na mesma direção - nesse momento, no q tange à vacina - enxergo o pior…"
Mon Oct 26 01:31:04 +0000 2020,RT @EduardoVerguei2: URGENTE: Ricardo Salles vai coordenar campanha da vacinação para os Bolsonaristas. Primeira dose aplicada com sucesso:…
Mon Oct 26 01:31:05 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:05 +0000 2020,"por favor, morra"
Mon Oct 26 01:31:06 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:08 +0000 2020,"DIA 01/11 VAI SER GIGANTE 
#DoriaVaiCair"
Mon Oct 26 01:31:08 +0000 2020,"RT @LuizCamargoVlog: Se o vírus foi criado em laboratório ou se surgiu naturalmente, ñ importa, o Governo Chinês foi 100% responsável por s…"
Mon Oct 26 01:31:09 +0000 2020,RT @BreHenrique_: Entra vacina contra coronga e disputa de pênalti com o time dos outros prefiro os pênaltis
Mon Oct 26 01:31:09 +0000 2020,RT @Fasalles: Vai vendo!
Mon Oct 26 01:31:09 +0000 2020,"RT @Frida_Feminista: Quem diria que o desgoverno do retrocesso causaria a Revolta da Vacina parte 2?

#euavisei Nós avisamos
#HeiBolsonaroV…"
Mon Oct 26 01:31:09 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:11 +0000 2020,"RT @LuizCamargoVlog: Se o vírus foi criado em laboratório ou se surgiu naturalmente, ñ importa, o Governo Chinês foi 100% responsável por s…"
Mon Oct 26 01:31:11 +0000 2020,RT @bernardokuster2: Paulista não quer quer cobaia de vacina chinesa.  #DoriaTemQueCair
Mon Oct 26 01:31:12 +0000 2020,"RT @Boatosorg: Boletim de fake news - 25/10, 21h 
Novas
- Brasileiros serão cobaias vacina - https://t.co/XopixWTrDS
- Mulher pisou cão mor…"
Mon Oct 26 01:31:14 +0000 2020,"Boa noite, Andréa!

Concordo com você! Já há algum tempo...

https://t.co/Qf0gfwPZdZ"
Mon Oct 26 01:31:14 +0000 2020,"@Ocorrenciarj A vacina serve pra quem não  gosta de respeitar, as normas ! pro não  contágio.."
Mon Oct 26 01:31:15 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:15 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:15 +0000 2020,"@ggukhello vacina, a do sangue eu já perdi o medo 🙏
https://t.co/2In1v9J9ie"
Mon Oct 26 01:31:15 +0000 2020,"RT @opropriofaka: Atenção vassalos do PC Chinês:  Habemus Presidente, e ele se chama Jair Bolsonaro! 

https://t.co/uG8V0h8nkc"
Mon Oct 26 01:31:16 +0000 2020,"RT @OtoniDepFederal: Ao ser questionado por @DatenaOficial sobre a não comprovação da eficácia da vacina chinesa, @jdoriajr deixa escapar:…"
Mon Oct 26 01:31:16 +0000 2020,RT @robertackp: nossa e essa vacina sai nunca nao
Mon Oct 26 01:31:17 +0000 2020,"RT @InterDD: POR FAVOR FIOCRUZ, BUTANTÃ, BRASIL, CHINA, REINO UNIDO SEJA LÁ O CARALHO QUE FOR

POR FAVOR CONSIGAM A VACINA ATÉ O FINAL DO B…"
Mon Oct 26 01:31:17 +0000 2020,"@Rmay38148210 @oimprecionante @MarinaSilva Claro, umas em 5, 10, 30 e outras em mais de 100 anos. Diferente desta v… https://t.co/yBMk8DuaX6"
Mon Oct 26 01:31:17 +0000 2020,"TW// agulha, veia, sangue, vacina
.
. 
. 
. 
Eu amo muito os dois🗣️"
Mon Oct 26 01:31:19 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:20 +0000 2020,tirar sangue pq vsf última vacina q eu tomei cai dura no chao pensei q tinha morrido por uns 30 minutos acordei sem… https://t.co/zrZALW4QKg
Mon Oct 26 01:31:21 +0000 2020,Não creio que eu perdi esse biete. Não vi isso. Aplicar essas  seis milhões de doses da Vachina no rabo do… https://t.co/t66TI4WZS8
Mon Oct 26 01:31:21 +0000 2020,"RT @oatila: Com o movimento anti-vacina/anti-vachina ganhando força, ano que vem não tem só COVID, deve ter sarampo, caxumba, coqueluche… r…"
Mon Oct 26 01:31:21 +0000 2020,RT @BlitzSpitfire: Tomou a vacina chinesa? https://t.co/yx0m2IH5ns
Mon Oct 26 01:31:23 +0000 2020,"RT @alwaysb4d: Os cara pagando milhoes em vacina e comprei uma por 3 conto, tudo otario https://t.co/KTsXGcixxb"
Mon Oct 26 01:31:24 +0000 2020,"RT @leandroruschel: Se os 11 reis decidirão sobre a vacina e sobre tudo mais, por que ainda temos presidente, ministros, governadores, pref…"
Mon Oct 26 01:31:24 +0000 2020,"RT @BolsoTrumpRaiz: NÃO RIA PORFAVOR!!!
""Se o vírus veio da China e funciona, por que a vacina não funcionaria?""
ASS: DILMA ROUSSEFF"
Mon Oct 26 01:31:24 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:24 +0000 2020,RT @Lindasod: Gostaria de saber quais são os países noMundo que estão discutindo a obrigatoriedade da Vacina da Coronavac. Alguém sabe?
Mon Oct 26 01:31:25 +0000 2020,"RT @AiltonBenedito: Depois da imposição de lockdowns que destroçaram economias dos países, relações familiares e sociais, e violentaram dir…"
Mon Oct 26 01:31:25 +0000 2020,"RT @gabicasottii: Bolsonaro disse que não será obrigatório tomar vacina, o bom é que os Bolsominios não vão tomar e sobra mais pra gente"
Mon Oct 26 01:31:26 +0000 2020,"RT @AlexMavignier: Vacina Chinesa 

Você quer tomar vacina Chinesa?"
Mon Oct 26 01:31:26 +0000 2020,Já pensou
Mon Oct 26 01:31:27 +0000 2020,"Sim, com certeza 🇧🇷"
Mon Oct 26 01:31:28 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:30 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:31 +0000 2020,"RT @Rconstantino: OMS, puxadinho do regime chinês, não quer foco na origem da vacina, em clara defesa ao “chefe”; e no Brasil o PCC tem ass…"
